4 | -
1 | -
500 | 100
2 | -
4 | -
5 | -
6 | -
7 | -
8 | -
10 | -
11 | -
12 | -
13 | -
9 | -
2 | -
17 | -
500 | 101
15 | -
500 | 102
15 | -
500 | 103
15 | -
500 | 104
16 | -
500 | 104
18 | -
300 | 105
30 | -
300 | 106
23 | -
300 | 107
16 | -
500 | 101
18 | -
19 | -
8 | -
9 | -
16 | -
500 | 102
18 | -
500 | 104
25 | -
500 | 101
16 | -
500 | 102
18 | -
500 | 102
25 | -
500 | 101
16 | -
500 | 103
18 | -
300 | 108
25 | -
500 | 104
16 | -
500 | 103
18 | -
500 | 103
25 | -
500 | 101
16 | -
20 | -
8 | -
500 | 102
9 | -
16 | -
20 | -
8 | -
500 | 103
9 | -
16 | -
3 | -
3 | -
